vendor_id,quarter,po_count,on_time_delivery_rate,avg_delay_days,delay_days_std,avg_fill_rate,avg_cost_variance_pct,cost_variance_std,total_spend_usd,expedited_rate,inspection_count,avg_defect_rate,lot_rejection_rate,avg_corrective_action_days,disruption_event_count,disruption_severity_score,max_resolution_days,credit_health_score,dpo,price_volatility,category,country,region,tier,annual_spend_usd,single_source_flag,certifications,on_time_delivery_rate_trail2q,avg_defect_rate_trail2q,avg_cost_variance_pct_trail2q,disruption_severity_score_trail2q,credit_health_score_trail2q,breach_this_quarter,high_risk_next_quarter
V0001,2022Q1,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9,45.7,1.66,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,,0.0,0.0,0.0,81.9,0,1.0
V0001,2022Q2,1.0,0.0,3.0,0.0,1.0,0.00604029512670053,0.0,109290.611,0.0,1.0,0.0049,0.0,0.0,0.0,0.0,0.0,81.3,42.9,1.93,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.0,0.00245,0.003020147563350265,0.0,81.6,1,1.0
V0001,2022Q3,4.0,0.5,5.25,6.3966136874651625,0.9262200834681884,-0.01263079413220975,0.021400910536849324,873494.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4,50.2,1.78,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.25,0.00245,-0.0032952495027546106,0.0,81.35,1,0.0
V0001,2022Q4,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6,45.0,2.78,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.5,0.0,-0.006315397066104875,0.0,81.5,0,0.0
V0001,2023Q1,4.0,1.0,0.75,0.9574271077563381,1.0,-0.008648017356451869,0.020396372125597268,2277044.402,0.0,3.0,0.004,0.0,0.0,0.0,0.0,0.0,81.3,48.2,0.87,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.002,-0.0043240086782259345,0.0,81.44999999999999,0,0.0
V0001,2023Q2,6.0,1.0,0.16666666666666666,0.408248290463863,1.0,0.0014882576134338766,0.028165443029045993,1813163.6,0.0,2.0,0.0039,0.0,0.0,0.0,0.0,0.0,81.2,44.5,1.62,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.00395,-0.0035798798715089963,0.0,81.25,0,0.0
V0001,2023Q3,4.0,1.0,0.25,0.5,1.0,0.007223686996699667,0.006810909630023585,1969702.2030000002,0.25,2.0,0.00295,0.0,0.0,0.0,0.0,0.0,81.1,51.7,2.52,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.003425,0.004355972305066772,0.0,81.15,0,1.0
V0001,2023Q4,2.0,0.5,6.5,9.192388155425117,1.0,-0.004268750577261268,0.054231468803999094,281807.52099999995,0.0,1.0,0.0046,0.0,0.0,0.0,0.0,0.0,81.0,42.3,2.06,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.75,0.003775,0.0014774682097191995,0.0,81.05,1,0.0
V0001,2024Q1,1.0,1.0,1.0,0.0,1.0,0.007017543859649095,0.0,33728.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,47.4,3.13,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.75,0.0023,0.0013743966411939135,0.0,80.8,0,0.0
V0001,2024Q2,4.0,0.75,2.0,3.366501646120693,1.0,-0.013842907014573552,0.03677788442887724,1059514.359,0.0,4.0,0.0024749999999999998,0.0,0.0,0.0,0.0,0.0,80.3,51.6,5.74,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.875,0.0012374999999999999,-0.0034126815774622285,0.0,80.44999999999999,0,0.0
V0001,2024Q3,2.0,1.0,0.5,0.7071067811865476,1.0,-0.014157046171225287,0.042576815263228304,1758464.5899999999,0.0,1.0,0.0053,0.0,0.0,0.0,0.0,0.0,80.5,39.5,2.89,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.875,0.0038875,-0.01399997659289942,0.0,80.4,0,0.0
V0001,2024Q4,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3,53.0,1.55,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.00265,-0.0070785230856126435,0.0,80.4,0,0.0
V0001,2025Q1,1.0,1.0,1.0,0.0,1.0,-0.018826926851150973,0.0,243568.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2,43.1,2.77,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.0,-0.009413463425575487,0.0,80.25,0,0.0
V0001,2025Q2,3.0,1.0,0.6666666666666666,1.1547005383792517,1.0,-0.031157587314937344,0.005580492997343828,1887680.926,0.0,3.0,0.0036333333333333335,0.0,0.0,0.0,0.0,0.0,79.5,48.8,3.45,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.0018166666666666667,-0.02499225708304416,0.0,79.85,0,0.0
V0001,2025Q3,1.0,1.0,0.0,0.0,1.0,-0.00786489939316509,0.0,41252.659999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.9,40.9,0.0,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.0018166666666666667,-0.019511243354051216,0.0,79.7,0,1.0
V0001,2025Q4,1.0,0.0,11.0,0.0,1.0,0.027469928368698434,0.0,100592.972,0.0,1.0,0.0054,0.0,0.0,0.0,0.0,0.0,79.8,51.9,1.33,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.5,0.0027,0.00980251448776667,0.0,79.85,1,0.0
V0001,2026Q1,1.0,1.0,0.0,0.0,1.0,-0.027559055118110347,0.0,131082.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,46.5,3.54,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,0.5,0.0027,-4.456337470595817e-05,0.0,79.9,0,0.0
V0001,2026Q2,3.0,1.0,0.6666666666666666,1.1547005383792517,1.0,-0.00784539896523449,0.015824659950530635,364610.048,0.0,1.0,0.0034,0.0,0.0,0.0,0.0,0.0,80.5,38.7,0.6,PCB / PCBA,South Korea,APAC,Tier 3,247500.0,False,ISO9001,1.0,0.0017,-0.017702227041672416,0.0,80.25,0,
V0002,2022Q1,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,57.7,2.47,Displays,Mexico,AMER,Tier 3,27800.0,False,"IATF16949, ISO14001, ISO9001, REACH",,0.0,0.0,0.0,72.6,0,0.0
V0002,2022Q2,2.0,1.0,1.0,0.0,1.0,0.06377632162891107,0.009287835080919264,2079717.1809999999,0.0,1.0,0.017,0.0,0.0,0.0,0.0,0.0,72.5,46.6,6.03,Displays,Mexico,AMER,Tier 3,27800.0,False,"IATF16949, ISO14001, ISO9001, REACH",1.0,0.0085,0.031888160814455536,0.0,72.55,0,0.0
V0002,2022Q3,4.0,1.0,0.25,0.5,1.0,-0.02853711926121108,0.029880878184504443,1698251.998,0.0,3.0,0.010066666666666666,0.0,0.0,0.0,0.0,0.0,72.3,59.1,1.06,Displays,Mexico,AMER,Tier 3,27800.0,False,"IATF16949, ISO14001, ISO9001, REACH",1.0,0.013533333333333335,0.017619601183849996,0.0,72.4,0,0.0
V0002,2022Q4,5.0,1.0,1.0,1.0,1.0,0.005362891706785683,0.05625935764620428,3881670.5840000003,0.0,4.0,0.0107,0.0,0.0,0.0,0.0,0.0,71.8,45.8,8.09,Displays,Mexico,AMER,Tier 3,27800.0,False,"IATF16949, ISO14001, ISO9001, REACH",1.0,0.010383333333333333,-0.011587113777212698,0.0,72.05,0,0.0
V0002,2023Q1,3.0,1.0,0.6666666666666666,1.1547005383792517,1.0,0.004363849894911031,0.03479072650132759,3591585.4749999996,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,52.4,3.89,Displays,Mexico,AMER,Tier 3,27800.0,False,"IATF16949, ISO14001, ISO9001, REACH",1.0,0.00535,0.004863370800848357,0.0,71.6,0,0.0
V0002,2023Q2,3.0,1.0,0.3333333333333333,0.5773502691896258,1.0,0.0042032821727886124,0.019105508706714257,1188064.0289999999,0.0,3.0,0.0069,0.0,0.0,0.0,0.0,0.0,71.5,60.7,2.83,Displays,Mexico,AMER,Tier 3,27800.0,False,"IATF16949, ISO14001, ISO9001, REACH",1.0,0.00345,0.004283566033849821,0.0,71.45,0,0.0
